"date","site_id","restoration_type","start_time","time_segment","common_name","number","distance","HSF","scientific_name","eBird_codes","time_of_day","data_type"
2019-12-02,"HP36P3B","BM","7.15","1","Large-billed Leaf Warbler",1,10,"H","Phylloscopus magnirostris","LBLW","7AM to 8AM","point_count"
2019-12-02,"HP36P3B","BM","7.15","1","Nilgiri Flowerpecker",1,10,"H","Dicaeum concolor","NIFP","7AM to 8AM","point_count"
2019-12-02,"HP36P3B","BM","7.15","1","Nilgiri Flowerpecker",1,0,"H","Dicaeum concolor","NIFP","7AM to 8AM","point_count"
2019-12-02,"HP36P3B","BM","7.15","1","Malabar Whistling-Thrush",1,10,"H","Myophonus horsfieldii","MWTH","7AM to 8AM","point_count"
2019-12-02,"HP36P3B","BM","7.15","1","Velvet-fronted Nuthatch",1,20,"H","Sitta frontalis","VFNU","7AM to 8AM","point_count"
2019-12-02,"HP36P3B","BM","7.15","1","Indian White-eye",1,20,"H","Zosterops palpebrosus","IWEY","7AM to 8AM","point_count"
2019-12-02,"HP36P3B","BM","7.15","1","Crimson-backed Sunbird",1,10,"H","Leptocoma minima","CBSU","7AM to 8AM","point_count"
2019-12-02,"HP36P3B","BM","7.15","2","Brown-breasted Flycatcher",1,20,"H","Muscicapa muttui","BBFL","7AM to 8AM","point_count"
2019-12-02,"HP36P3B","BM","7.15","2","Bronzed Drongo",1,10,"H","Dicrurus aeneus","BRDR","7AM to 8AM","point_count"
2019-12-02,"HP36P3B","BM","7.15","2","Green Warbler",1,10,"H","Phylloscopus nitidus","GRNW","7AM to 8AM","point_count"
2019-12-02,"HP36P3B","BM","7.15","1","Indian Paradise-Flycatcher",1,10,"H","Terpsiphone paradisi","IPFL","7AM to 8AM","point_count"
2019-12-02,"HP36P3B","BM","7.15","1","Yellow-browed Bulbul",1,15,"H","Iole indica","YBBU","7AM to 8AM","point_count"
2019-12-02,"HP36P3B","BM","7.15","1","Square-tailed Bulbul",1,15,"H","Hypsipetes ganeesa","STBU","7AM to 8AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","1","Indian White-eye",1,10,"H","Zosterops palpebrosus","IWEY","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","1","Malabar Barbet",1,20,"H","Psilopogon malabaricus","MABA","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","1","Crimson-backed Sunbird",1,10,"H","Leptocoma minima","CBSU","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","1","Gray-headed Canary-Flycatcher",1,20,"H","Culicicapa ceylonensis","GHCF","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","1","Indian Scimitar-Babbler",2,30,"H","Pomatorhinus horsfieldii","ISBA","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","1","Large-billed Leaf Warbler",1,30,"H","Phylloscopus magnirostris","LBLW","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","1","Puff-throated Babbler",2,30,"H","Pellorneum ruficeps","PTBA","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","1","White-cheeked Barbet",1,20,"S","Psilopogon viridis","WCBA","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","1","Large-billed Leaf Warbler",1,15,"H","Phylloscopus magnirostris","LBLW","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","1","Brown-cheeked Fulvetta",1,15,"H","Alcippe poioicephala","BCFU","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","1","Black-naped Monarch",1,15,"H","Hypothymis azurea","BNMO","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","1","Yellow-browed Bulbul",2,15,"S","Iole indica","YBBU","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","2","Velvet-fronted Nuthatch",1,15,"H","Sitta frontalis","VFNU","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","2","Greenish Warbler",1,10,"H","Phylloscopus trochiloides","GRWA","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","2","Southern Hill Myna",1,30,"H","Gracula indica","SHMY","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","2","Bronzed Drongo",1,20,"H","Dicrurus aeneus","BRDR","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","3","Brown-breasted Flycatcher",1,15,"H","Muscicapa muttui","BBFL","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","3","Greater Racket-tailed Drongo",1,20,"H","Dicrurus paradiseus","GRTD","8AM to 9AM","point_count"
2020-03-21,"HP36P3B","BM","8.27","3","Square-tailed Bulbul",1,15,"H","Hypsipetes ganeesa","STBU","8AM to 9AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","1","Crimson-backed Sunbird",1,10,"H","Leptocoma minima","CBSU","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","1","White-cheeked Barbet",1,30,"H","Psilopogon viridis","WCBA","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","1","Gray-headed Canary-Flycatcher",1,10,"H","Culicicapa ceylonensis","GHCF","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","1","Green Warbler",1,5,"H","Phylloscopus nitidus","GRNW","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","1","White-cheeked Barbet",2,10,"H","Psilopogon viridis","WCBA","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","1","Yellow-browed Bulbul",1,15,"H","Iole indica","YBBU","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","1","Asian Emerald Dove",1,10,"H","Chalcophaps indica","AEDO","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","1","Indian White-eye",1,10,"H","Zosterops palpebrosus","IWEY","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","1","Brown-cheeked Fulvetta",1,10,"H","Alcippe poioicephala","BCFU","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","2","Nilgiri Flowerpecker",1,5,"H","Dicaeum concolor","NIFP","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","2","Black-naped Monarch",1,15,"H","Hypothymis azurea","BNMO","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","2","Green Warbler",1,10,"H","Phylloscopus nitidus","GRNW","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","3","Indian Scimitar-Babbler",1,20,"H","Pomatorhinus horsfieldii","ISBA","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","3","Puff-throated Babbler",1,30,"H","Pellorneum ruficeps","PTBA","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","3","Little Spiderhunter",1,10,"H","Arachnothera longirostra","LISP","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","3","Dark-fronted Babbler",1,15,"H","Dumetia atriceps","DFBA","7AM to 8AM","point_count"
2020-02-08,"HP36P3B","BM","7.13","3","Large-billed Leaf Warbler",1,20,"H","Phylloscopus magnirostris","LBLW","7AM to 8AM","point_count"
2019-11-07,"HP36P3B","BM","7.12","1","Indian Blue Robin",1,10,"H","Larvivora brunnea","IBRO","7AM to 8AM","point_count"
2019-11-07,"HP36P3B","BM","7.12","1","Malabar Whistling-Thrush",2,15,"H","Myophonus horsfieldii","MWTH","7AM to 8AM","point_count"
2019-11-07,"HP36P3B","BM","7.12","1","Large-billed Leaf Warbler",1,10,"H","Phylloscopus magnirostris","LBLW","7AM to 8AM","point_count"
2019-11-07,"HP36P3B","BM","7.12","1","Square-tailed Bulbul",2,30,"H","Hypsipetes ganeesa","STBU","7AM to 8AM","point_count"
2019-11-07,"HP36P3B","BM","7.12","1","Square-tailed Bulbul",2,10,"H","Hypsipetes ganeesa","STBU","7AM to 8AM","point_count"
2019-11-07,"HP36P3B","BM","7.12","1","Crimson-backed Sunbird",1,15,"H","Leptocoma minima","CBSU","7AM to 8AM","point_count"
2019-11-07,"HP36P3B","BM","7.12","1","Nilgiri Flowerpecker",1,10,"H","Dicaeum concolor","NIFP","7AM to 8AM","point_count"
2019-11-07,"HP36P3B","BM","7.12","2","Yellow-browed Bulbul",1,30,"H","Iole indica","YBBU","7AM to 8AM","point_count"
2019-11-07,"HP36P3B","BM","7.12","2","Asian Emerald Dove",1,30,"H","Chalcophaps indica","AEDO","7AM to 8AM","point_count"
2019-11-07,"HP36P3B","BM","7.12","2","Greenish Warbler",1,15,"H","Phylloscopus trochiloides","GRWA","7AM to 8AM","point_count"
2019-11-07,"HP36P3B","BM","7.12","3","Wayanad Laughingthrush",1,30,"H","Pterorhinus delesserti","WALA","7AM to 8AM","point_count"
2019-11-07,"HP36P3B","BM","7.12","3","Indian White-eye",1,0,"H","Zosterops palpebrosus","IWEY","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","1","White-cheeked Barbet",1,20,"H","Psilopogon viridis","WCBA","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","1","Square-tailed Bulbul",1,15,"H","Hypsipetes ganeesa","STBU","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","1","Gray-headed Canary-Flycatcher",1,10,"H","Culicicapa ceylonensis","GHCF","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","1","Crimson-backed Sunbird",1,15,"H","Leptocoma minima","CBSU","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","1","Puff-throated Babbler",1,20,"H","Pellorneum ruficeps","PTBA","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","1","Yellow-browed Bulbul",1,15,"H","Iole indica","YBBU","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","1","Greenish Warbler",1,15,"H","Phylloscopus trochiloides","GRWA","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","1","Greenish Warbler",1,30,"H","Phylloscopus trochiloides","GRWA","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","1","Nilgiri Flowerpecker",1,10,"H","Dicaeum concolor","NIFP","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","1","Velvet-fronted Nuthatch",1,15,"H","Sitta frontalis","VFNU","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","2","Greenish Warbler",1,10,"H","Phylloscopus trochiloides","GRWA","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","2","Indian Scimitar-Babbler",1,30,"H","Pomatorhinus horsfieldii","ISBA","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","2","Bronzed Drongo",1,10,"H","Dicrurus aeneus","BRDR","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","2","Yellow-browed Bulbul",1,20,"H","Iole indica","YBBU","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","3","Nilgiri Flowerpecker",1,5,"H","Dicaeum concolor","NIFP","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","3","Vernal Hanging-Parrot",1,10,"H","Loriculus vernalis","VHPA","7AM to 8AM","point_count"
2019-12-31,"HP36P3B","BM","7.44","3","Greater Racket-tailed Drongo",1,20,"H","Dicrurus paradiseus","GRTD","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","1","Indian White-eye",1,10,"H","Zosterops palpebrosus","IWEY","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","1","Velvet-fronted Nuthatch",1,15,"H","Sitta frontalis","VFNU","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","1","Brown-cheeked Fulvetta",1,30,"H","Alcippe poioicephala","BCFU","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","1","Yellow-browed Bulbul",1,20,"H","Iole indica","YBBU","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","1","Indian Paradise-Flycatcher",1,0,"S","Terpsiphone paradisi","IPFL","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","1","Square-tailed Bulbul",1,5,"H","Hypsipetes ganeesa","STBU","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","2","Greenish Warbler",2,10,"H","Phylloscopus trochiloides","GRWA","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","2","Yellow-browed Bulbul",1,0,"H","Iole indica","YBBU","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","2","White-cheeked Barbet",1,30,"H","Psilopogon viridis","WCBA","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","2","Green Warbler",1,5,"H","Phylloscopus nitidus","GRNW","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","2","Puff-throated Babbler",1,30,"H","Pellorneum ruficeps","PTBA","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","2","Indian Scimitar-Babbler",1,30,"H","Pomatorhinus horsfieldii","ISBA","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","2","Crimson-backed Sunbird",1,10,"H","Leptocoma minima","CBSU","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","3","Malabar Trogon",1,30,"H","Harpactes fasciatus","MATR","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","3","Gray Junglefowl",1,10,"H","Gallus sonneratii","GRJU","7AM to 8AM","point_count"
2020-01-22,"HP36P3B","BM","7.29","3","Gray-headed Canary-Flycatcher",1,15,"H","Culicicapa ceylonensis","GHCF","7AM to 8AM","point_count"
2019-12-31,"HP36P4B","BM","7.2","1","Crimson-backed Sunbird",1,15,"H","Leptocoma minima","CBSU","7AM to 8AM","point_count"
2019-12-31,"HP36P4B","BM","7.2","1","Indian Scimitar-Babbler",1,30,"H","Pomatorhinus horsfieldii","ISBA","7AM to 8AM","point_count"
2019-12-31,"HP36P4B","BM","7.2","1","Malabar Barbet",1,20,"H","Psilopogon malabaricus","MABA","7AM to 8AM","point_count"
2019-12-31,"HP36P4B","BM","7.2","1","Great Hornbill",1,20,"H","Buceros bicornis","GRHO","7AM to 8AM","point_count"
2019-12-31,"HP36P4B","BM","7.2","1","Vernal Hanging-Parrot",1,5,"F","Loriculus vernalis","VHPA","7AM to 8AM","point_count"
2019-12-31,"HP36P4B","BM","7.2","1","White-cheeked Barbet",1,20,"H","Psilopogon viridis","WCBA","7AM to 8AM","point_count"
2019-12-31,"HP36P4B","BM","7.2","1","Asian Fairy-bluebird",1,15,"H","Irena puella","AFBL","7AM to 8AM","point_count"
2019-12-31,"HP36P4B","BM","7.2","1","Square-tailed Bulbul",1,20,"S","Hypsipetes ganeesa","STBU","7AM to 8AM","point_count"
2019-12-31,"HP36P4B","BM","7.2","1","Yellow-browed Bulbul",1,20,"H","Iole indica","YBBU","7AM to 8AM","point_count"
2019-12-31,"HP36P4B","BM","7.2","1","Gray-headed Canary-Flycatcher",1,15,"H","Culicicapa ceylonensis","GHCF","7AM to 8AM","point_count"
2019-12-31,"HP36P4B","BM","7.2","1","Nilgiri Flowerpecker",1,10,"H","Dicaeum concolor","NIFP","7AM to 8AM","point_count"
2019-12-31,"HP36P4B","BM","7.2","1","White-cheeked Barbet",1,20,"H","Psilopogon viridis","WCBA","7AM to 8AM","point_count"
